"Name","algorithm","alpha","seed","tau","tau_decay","Episode_return"
"q_learning_alpha0.14962031232989406_tau0.8553768580727261_tau_decay0.9068592789007606_seed30","q_learning","0.14962031232989406","30","0.8553768580727261","0.9068592789007606","-213"
"q_learning_alpha0.24783423176117308_tau0.5149346330323543_tau_decay0.9125514373131552_seed30","q_learning","0.24783423176117308","30","0.5149346330323543","0.9125514373131552","-113"
"q_learning_alpha0.2438658736883811_tau0.835760585770859_tau_decay0.9026318097338164_seed10","q_learning","0.2438658736883811","10","0.835760585770859","0.9026318097338164","-247"
"q_learning_alpha0.7773141017436447_tau0.624722641326837_tau_decay0.9400398542008496_seed10","q_learning","0.7773141017436447","10","0.624722641326837","0.9400398542008496","-165"
"q_learning_alpha0.5691440030674816_tau0.5954779706876216_tau_decay0.9023441763262676_seed20","q_learning","0.5691440030674816","20","0.5954779706876216","0.9023441763262676","-113"
"q_learning_alpha0.4457418720524088_tau0.5431962422116883_tau_decay0.919769514606047_seed20","q_learning","0.4457418720524088","20","0.5431962422116883","0.919769514606047","-109"
"q_learning_alpha0.6617872068070892_tau0.6035235553897647_tau_decay0.9204760053278562_seed20","q_learning","0.6617872068070892","20","0.6035235553897647","0.9204760053278562","-160"
"q_learning_alpha0.34552821883046203_tau0.8047870835521835_tau_decay0.927560714501701_seed10","q_learning","0.34552821883046203","10","0.8047870835521835","0.927560714501701","-327"
"q_learning_alpha0.7495002761938393_tau0.5676885346544938_tau_decay0.9300234520550824_seed10","q_learning","0.7495002761938393","10","0.5676885346544938","0.9300234520550824","-145"
"q_learning_alpha0.20592128314515917_tau0.5133655083603694_tau_decay0.9564252733808348_seed50","q_learning","0.20592128314515917","50","0.5133655083603694","0.9564252733808348","-156"
"q_learning_alpha0.632174035337129_tau0.7959445652531482_tau_decay0.914403040481264_seed20","q_learning","0.632174035337129","20","0.7959445652531482","0.914403040481264","-125"
"q_learning_alpha0.3350151140310297_tau0.8942800932866886_tau_decay0.9129104760859303_seed20","q_learning","0.3350151140310297","20","0.8942800932866886","0.9129104760859303","-192"
"q_learning_alpha0.41685085905910974_tau0.5815843747289686_tau_decay0.904548587353828_seed20","q_learning","0.41685085905910974","20","0.5815843747289686","0.904548587353828","-109"
"q_learning_alpha0.1747639907028378_tau0.5528326023890807_tau_decay0.9054576420605218_seed20","q_learning","0.1747639907028378","20","0.5528326023890807","0.9054576420605218","-127"
"q_learning_alpha0.43803945108470094_tau0.7410371813288905_tau_decay0.9158627078108176_seed20","q_learning","0.43803945108470094","20","0.7410371813288905","0.9158627078108176","-116"
"q_learning_alpha0.2991944826427013_tau0.6124488574746434_tau_decay0.9095753698388336_seed20","q_learning","0.2991944826427013","20","0.6124488574746434","0.9095753698388336","-175"
"q_learning_alpha0.4227996410720768_tau0.7509011347487236_tau_decay0.9105576514059524_seed10","q_learning","0.4227996410720768","10","0.7509011347487236","0.9105576514059524","-142"
"q_learning_alpha0.397964047923662_tau0.5275861866735634_tau_decay0.9091868796991306_seed20","q_learning","0.397964047923662","20","0.5275861866735634","0.9091868796991306","-121"
"q_learning_alpha0.7955765304617449_tau3.346073820386081_tau_decay0.924431615229157_seed40","q_learning","0.7955765304617449","40","3.346073820386081","0.924431615229157","-500"
"q_learning_alpha0.5265493193027632_tau2.552617368013179_tau_decay0.970154027464196_seed10","q_learning","0.5265493193027632","10","2.552617368013179","0.970154027464196","-500"
"q_learning_alpha0.8421246785424825_tau3.3221738870849356_tau_decay0.9760625467510636_seed20","q_learning","0.8421246785424825","20","3.3221738870849356","0.9760625467510636","-500"
"q_learning_alpha0.41288149742768626_tau2.4291598581612215_tau_decay0.943539020009486_seed40","q_learning","0.41288149742768626","40","2.4291598581612215","0.943539020009486","-500"
"q_learning_alpha0.5802696933981626_tau3.2050289725910326_tau_decay0.9225199031732726_seed50","q_learning","0.5802696933981626","50","3.2050289725910326","0.9225199031732726","-500"
"q_learning_alpha0.6929237886726102_tau2.4258647655290684_tau_decay0.9559922383813044_seed50","q_learning","0.6929237886726102","50","2.4258647655290684","0.9559922383813044","-500"
"q_learning_alpha0.6411564962320179_tau3.704248847101978_tau_decay0.968167761977474_seed30","q_learning","0.6411564962320179","30","3.704248847101978","0.968167761977474","-500"
