"Name","algorithm","alpha","epsilon","epsilon_decay","seed","Episode_return"
"sarsa_alpha0.15742256415425765_epsilon0.14382325465863796_epsilon_decay0.922368342750828_seed50","sarsa","0.15742256415425765","0.14382325465863796","0.922368342750828","50","-160"
"sarsa_alpha0.0449565766190247_epsilon0.1942122628481772_epsilon_decay0.9692650521341812_seed10","sarsa","0.0449565766190247","0.1942122628481772","0.9692650521341812","10","-152"
"sarsa_alpha0.06436431450390367_epsilon0.1976400479919336_epsilon_decay0.965311588830997_seed40","sarsa","0.06436431450390367","0.1976400479919336","0.965311588830997","40","-154"
"sarsa_alpha0.056168203973308184_epsilon0.1454480048458134_epsilon_decay0.957234101116924_seed40","sarsa","0.056168203973308184","0.1454480048458134","0.957234101116924","40","-150"
"sarsa_alpha0.5379439592371211_epsilon0.1800221852920395_epsilon_decay0.9273368251600012_seed40","sarsa","0.5379439592371211","0.1800221852920395","0.9273368251600012","40","-243"
"sarsa_alpha0.7302948651039688_epsilon0.013045398258738263_epsilon_decay0.9893287625110696_seed10","sarsa","0.7302948651039688","0.013045398258738263","0.9893287625110696","10","-170"
"sarsa_alpha0.0372066500820756_epsilon0.06424459592156795_epsilon_decay0.95724016473469_seed40","sarsa","0.0372066500820756","0.06424459592156795","0.95724016473469","40","-228"
"sarsa_alpha0.1668630392775945_epsilon0.1951142260492596_epsilon_decay0.965554913176056_seed50","sarsa","0.1668630392775945","0.1951142260492596","0.965554913176056","50","-222"
"sarsa_alpha0.0639612989787861_epsilon0.08343458006617112_epsilon_decay0.9275425055738704_seed20","sarsa","0.0639612989787861","0.08343458006617112","0.9275425055738704","20","-177"
"sarsa_alpha0.010922543588235087_epsilon0.13809950725886624_epsilon_decay0.9742201101383432_seed20","sarsa","0.010922543588235087","0.13809950725886624","0.9742201101383432","20","-191"
"sarsa_alpha0.0129675994914301_epsilon0.13863315565580395_epsilon_decay0.9610832839236372_seed50","sarsa","0.0129675994914301","0.13863315565580395","0.9610832839236372","50","-158"
"sarsa_alpha0.07647494779255179_epsilon0.030313203034317053_epsilon_decay0.9119600831290708_seed20","sarsa","0.07647494779255179","0.030313203034317053","0.9119600831290708","20","-188"
"sarsa_alpha0.5018767938524467_epsilon0.04698600207018504_epsilon_decay0.9255797699392828_seed10","sarsa","0.5018767938524467","0.04698600207018504","0.9255797699392828","10","-478"
"sarsa_alpha0.452507051247513_epsilon0.1455069351457716_epsilon_decay0.948067486213096_seed10","sarsa","0.452507051247513","0.1455069351457716","0.948067486213096","10","-258"
"sarsa_alpha0.0411387574724864_epsilon0.05378535046801043_epsilon_decay0.954717577443194_seed40","sarsa","0.0411387574724864","0.05378535046801043","0.954717577443194","40","-150"
"sarsa_alpha0.0212361803319772_epsilon0.09644802302140992_epsilon_decay0.9473251703123502_seed40","sarsa","0.0212361803319772","0.09644802302140992","0.9473251703123502","40","-228"
"sarsa_alpha0.031091164365691072_epsilon0.14833605517588383_epsilon_decay0.9861317031215304_seed40","sarsa","0.031091164365691072","0.14833605517588383","0.9861317031215304","40","-234"
"sarsa_alpha0.083961193185668_epsilon0.15286233977798333_epsilon_decay0.9865395559946312_seed10","sarsa","0.083961193185668","0.15286233977798333","0.9865395559946312","10","-160"
"sarsa_alpha0.02564923577906926_epsilon0.0230691735198659_epsilon_decay0.9400885612737272_seed20","sarsa","0.02564923577906926","0.0230691735198659","0.9400885612737272","20","-149"
"sarsa_alpha0.030526987547676493_epsilon0.11009566299679592_epsilon_decay0.9430044574879844_seed50","sarsa","0.030526987547676493","0.11009566299679592","0.9430044574879844","50","-154"
"sarsa_alpha0.17211286010967733_epsilon0.19919520136722568_epsilon_decay0.9756449562116494_seed50","sarsa","0.17211286010967733","0.19919520136722568","0.9756449562116494","50","-179"
"sarsa_alpha0.04313527363154215_epsilon0.05191956170404122_epsilon_decay0.9206829442416916_seed30","sarsa","0.04313527363154215","0.05191956170404122","0.9206829442416916","30","-217"
"sarsa_alpha0.026120770758978867_epsilon0.1442966455841638_epsilon_decay0.9807374157472144_seed30","sarsa","0.026120770758978867","0.1442966455841638","0.9807374157472144","30","-185"
"sarsa_alpha0.5033527440530057_epsilon0.02557332002951543_epsilon_decay0.9468319089990392_seed10","sarsa","0.5033527440530057","0.02557332002951543","0.9468319089990392","10","-400"
"sarsa_alpha0.5989053670934427_epsilon0.04268725853555123_epsilon_decay0.9703223822159412_seed30","sarsa","0.5989053670934427","0.04268725853555123","0.9703223822159412","30","-266"
"sarsa_alpha0.052034157982436456_epsilon0.0425594594227052_epsilon_decay0.97500945733651_seed30","sarsa","0.052034157982436456","0.0425594594227052","0.97500945733651","30","-183"
"sarsa_alpha0.011967359896751736_epsilon0.16672298069715058_epsilon_decay0.9815996172202798_seed40","sarsa","0.011967359896751736","0.16672298069715058","0.9815996172202798","40","-148"
"sarsa_alpha0.13846366229849938_epsilon0.17573486370247005_epsilon_decay0.9733630779473076_seed40","sarsa","0.13846366229849938","0.17573486370247005","0.9733630779473076","40","-157"
"sarsa_alpha0.014913444855433692_epsilon0.0361076933458871_epsilon_decay0.9151086506277264_seed20","sarsa","0.014913444855433692","0.0361076933458871","0.9151086506277264","20","-120"
"sarsa_alpha0.17176037005114486_epsilon0.1379799167342424_epsilon_decay0.976073847111847_seed50","sarsa","0.17176037005114486","0.1379799167342424","0.976073847111847","50","-241"
"sarsa_alpha0.020297288974134544_epsilon0.021488035345624188_epsilon_decay0.924830813867084_seed30","sarsa","0.020297288974134544","0.021488035345624188","0.924830813867084","30","-152"
"sarsa_alpha0.7340034660015803_epsilon0.04051076276195833_epsilon_decay0.9046549134361956_seed50","sarsa","0.7340034660015803","0.04051076276195833","0.9046549134361956","50","-500"
"sarsa_alpha0.1857020983457505_epsilon0.0947597665309888_epsilon_decay0.9459119819741146_seed50","sarsa","0.1857020983457505","0.0947597665309888","0.9459119819741146","50","-150"
"sarsa_alpha0.06126094074049041_epsilon0.03157098892930814_epsilon_decay0.9160063356102024_seed30","sarsa","0.06126094074049041","0.03157098892930814","0.9160063356102024","30","-117"
"sarsa_alpha0.31901577551095944_epsilon0.1597707407554834_epsilon_decay0.9513267118954648_seed20","sarsa","0.31901577551095944","0.1597707407554834","0.9513267118954648","20","-242"
"sarsa_alpha0.8215497002677583_epsilon0.09510948513368858_epsilon_decay0.9552268511335894_seed20","sarsa","0.8215497002677583","0.09510948513368858","0.9552268511335894","20","-500"
"sarsa_alpha0.07784820552782458_epsilon0.1832625548494127_epsilon_decay0.9817944966159636_seed50","sarsa","0.07784820552782458","0.1832625548494127","0.9817944966159636","50","-161"
"sarsa_alpha0.7561874384123511_epsilon0.04165750605434759_epsilon_decay0.9729981547805092_seed10","sarsa","0.7561874384123511","0.04165750605434759","0.9729981547805092","10","-253"
"sarsa_alpha0.4408592941785476_epsilon0.11466522369366253_epsilon_decay0.9155803077077478_seed50","sarsa","0.4408592941785476","0.11466522369366253","0.9155803077077478","50","-245"
"sarsa_alpha0.12939734529805164_epsilon0.10199030616272932_epsilon_decay0.9525500004851208_seed30","sarsa","0.12939734529805164","0.10199030616272932","0.9525500004851208","30","-199"
"sarsa_alpha0.09338390580968792_epsilon0.16162797467230583_epsilon_decay0.9834010608149958_seed50","sarsa","0.09338390580968792","0.16162797467230583","0.9834010608149958","50","-152"
"sarsa_alpha0.04275263584883004_epsilon0.06309049110667206_epsilon_decay0.940175852242334_seed30","sarsa","0.04275263584883004","0.06309049110667206","0.940175852242334","30","-179"
"sarsa_alpha0.14219950365919212_epsilon0.037973173914655496_epsilon_decay0.951079679095015_seed40","sarsa","0.14219950365919212","0.037973173914655496","0.951079679095015","40","-242"
"sarsa_alpha0.046498710701548034_epsilon0.030997703458322236_epsilon_decay0.9007036792759389_seed30","sarsa","0.046498710701548034","0.030997703458322236","0.9007036792759389","30","-200"
"sarsa_alpha0.19152855362166932_epsilon0.09419872226614565_epsilon_decay0.9414084913394246_seed50","sarsa","0.19152855362166932","0.09419872226614565","0.9414084913394246","50","-206"
"sarsa_alpha0.011276502761716784_epsilon0.04629199416725051_epsilon_decay0.931398979569358_seed20","sarsa","0.011276502761716784","0.04629199416725051","0.931398979569358","20","-178"
"sarsa_alpha0.041805790662167656_epsilon0.1383468422265537_epsilon_decay0.9156662058729008_seed20","sarsa","0.041805790662167656","0.1383468422265537","0.9156662058729008","20","-185"
"sarsa_alpha0.6155776109716589_epsilon0.03510985870228905_epsilon_decay0.9642159625254774_seed30","sarsa","0.6155776109716589","0.03510985870228905","0.9642159625254774","30","-198"
"sarsa_alpha0.2373445843258821_epsilon0.10087068589761831_epsilon_decay0.9600215637289076_seed10","sarsa","0.2373445843258821","0.10087068589761831","0.9600215637289076","10","-216"
"sarsa_alpha0.1414271431623855_epsilon0.18708848945928133_epsilon_decay0.9891290622512604_seed50","sarsa","0.1414271431623855","0.18708848945928133","0.9891290622512604","50","-147"
"sarsa_alpha0.5662145650320672_epsilon0.03629833145606886_epsilon_decay0.9191416511409644_seed20","sarsa","0.5662145650320672","0.03629833145606886","0.9191416511409644","20","-201"
"sarsa_alpha0.4863237741302691_epsilon0.15260691087772463_epsilon_decay0.9112933638954274_seed20","sarsa","0.4863237741302691","0.15260691087772463","0.9112933638954274","20","-243"
"sarsa_alpha0.09975015628960224_epsilon0.1158539415907434_epsilon_decay0.9729966821312412_seed50","sarsa","0.09975015628960224","0.1158539415907434","0.9729966821312412","50","-224"
"sarsa_alpha0.11741553155236016_epsilon0.01466840081885341_epsilon_decay0.9044104536934398_seed40","sarsa","0.11741553155236016","0.01466840081885341","0.9044104536934398","40","-154"
"sarsa_alpha0.03751050514382239_epsilon0.06880049206369526_epsilon_decay0.9429493470731736_seed30","sarsa","0.03751050514382239","0.06880049206369526","0.9429493470731736","30","-156"
"sarsa_alpha0.04865873499156725_epsilon0.018159323336438465_epsilon_decay0.917343964428256_seed30","sarsa","0.04865873499156725","0.018159323336438465","0.917343964428256","30","-168"
"sarsa_alpha0.05869111550153897_epsilon0.13397920912048214_epsilon_decay0.9674959504111376_seed50","sarsa","0.05869111550153897","0.13397920912048214","0.9674959504111376","50","-142"
"sarsa_alpha0.054578868763658195_epsilon0.047726926950464314_epsilon_decay0.9377876709237664_seed30","sarsa","0.054578868763658195","0.047726926950464314","0.9377876709237664","30","-129"
"sarsa_alpha0.029596011599913652_epsilon0.02112877478493356_epsilon_decay0.9273689510443738_seed40","sarsa","0.029596011599913652","0.02112877478493356","0.9273689510443738","40","-500"
"sarsa_alpha0.04870889490850612_epsilon0.02273746284360101_epsilon_decay0.9120209561804076_seed30","sarsa","0.04870889490850612","0.02273746284360101","0.9120209561804076","30","-115"
"sarsa_alpha0.01423540695885648_epsilon0.1413036209055578_epsilon_decay0.967132762876618_seed50","sarsa","0.01423540695885648","0.1413036209055578","0.967132762876618","50","-161"
"sarsa_alpha0.014804431403178116_epsilon0.057178251245565005_epsilon_decay0.9112273507154712_seed10","sarsa","0.014804431403178116","0.057178251245565005","0.9112273507154712","10","-246"
"sarsa_alpha0.05946229758631346_epsilon0.025403723752520153_epsilon_decay0.904314467752895_seed20","sarsa","0.05946229758631346","0.025403723752520153","0.904314467752895","20","-169"
"sarsa_alpha0.06934137989748455_epsilon0.07626482753242149_epsilon_decay0.9476726848474036_seed50","sarsa","0.06934137989748455","0.07626482753242149","0.9476726848474036","50","-148"
"sarsa_alpha0.0690917100036747_epsilon0.05333329216498516_epsilon_decay0.9174076889844852_seed30","sarsa","0.0690917100036747","0.05333329216498516","0.9174076889844852","30","-176"
"sarsa_alpha0.08746026553141452_epsilon0.022239881005924993_epsilon_decay0.9417507439344353_seed30","sarsa","0.08746026553141452","0.022239881005924993","0.9417507439344353","30","-183"
"sarsa_alpha0.043749417713515246_epsilon0.03308902017982949_epsilon_decay0.9408506874806288_seed40","sarsa","0.043749417713515246","0.03308902017982949","0.9408506874806288","40","-201"
"sarsa_alpha0.022699397637727874_epsilon0.05661304891132577_epsilon_decay0.91421068161413_seed30","sarsa","0.022699397637727874","0.05661304891132577","0.91421068161413","30","-162"
"sarsa_alpha0.07233304050545801_epsilon0.06524894187099055_epsilon_decay0.9183869412339106_seed20","sarsa","0.07233304050545801","0.06524894187099055","0.9183869412339106","20","-178"
"sarsa_alpha0.04233759456755036_epsilon0.17473432861022056_epsilon_decay0.9818942869560114_seed50","sarsa","0.04233759456755036","0.17473432861022056","0.9818942869560114","50","-169"
"sarsa_alpha0.08540681017550222_epsilon0.13222237109007143_epsilon_decay0.9771104432785274_seed50","sarsa","0.08540681017550222","0.13222237109007143","0.9771104432785274","50","-153"
"sarsa_alpha0.12215037715124216_epsilon0.04281857096240871_epsilon_decay0.9155882068322744_seed20","sarsa","0.12215037715124216","0.04281857096240871","0.9155882068322744","20","-178"
"sarsa_alpha0.037971612853377176_epsilon0.04761932409462427_epsilon_decay0.9084482995213378_seed20","sarsa","0.037971612853377176","0.04761932409462427","0.9084482995213378","20","-124"
"sarsa_alpha0.17280864658042594_epsilon0.05617299696335453_epsilon_decay0.9310854832541502_seed30","sarsa","0.17280864658042594","0.05617299696335453","0.9310854832541502","30","-219"
"sarsa_alpha0.06126286407658509_epsilon0.1154819392881769_epsilon_decay0.9840158362700908_seed50","sarsa","0.06126286407658509","0.1154819392881769","0.9840158362700908","50","-149"
"sarsa_alpha0.06836958753176686_epsilon0.04190786425138355_epsilon_decay0.9370814383426213_seed30","sarsa","0.06836958753176686","0.04190786425138355","0.9370814383426213","30","-137"
"sarsa_alpha0.03830077762684225_epsilon0.052184677379090966_epsilon_decay0.9220672244185438_seed20","sarsa","0.03830077762684225","0.052184677379090966","0.9220672244185438","20","-111"
"sarsa_alpha0.13006555779447934_epsilon0.14865215831080417_epsilon_decay0.9693221562952868_seed50","sarsa","0.13006555779447934","0.14865215831080417","0.9693221562952868","50","-227"
"sarsa_alpha0.03714610056599702_epsilon0.12271802642329994_epsilon_decay0.946405007924736_seed50","sarsa","0.03714610056599702","0.12271802642329994","0.946405007924736","50","-144"
"sarsa_alpha0.13936525080685658_epsilon0.08247504395591146_epsilon_decay0.962778787275538_seed50","sarsa","0.13936525080685658","0.08247504395591146","0.962778787275538","50","-211"
"sarsa_alpha0.06943637163760602_epsilon0.04132219781007002_epsilon_decay0.9416413873334348_seed50","sarsa","0.06943637163760602","0.04132219781007002","0.9416413873334348","50","-215"
"sarsa_alpha0.1723764216498928_epsilon0.15745961823703372_epsilon_decay0.9847655150001332_seed50","sarsa","0.1723764216498928","0.15745961823703372","0.9847655150001332","50","-158"
"sarsa_alpha0.02132413478176768_epsilon0.13011228025215246_epsilon_decay0.9367703760808233_seed50","sarsa","0.02132413478176768","0.13011228025215246","0.9367703760808233","50","-153"
"sarsa_alpha0.02247419733644644_epsilon0.0823596648200662_epsilon_decay0.950707647614784_seed40","sarsa","0.02247419733644644","0.0823596648200662","0.950707647614784","40","-160"
"sarsa_alpha0.022710940170822036_epsilon0.1634668135990455_epsilon_decay0.9769197295749884_seed50","sarsa","0.022710940170822036","0.1634668135990455","0.9769197295749884","50","-150"
