"Name","algorithm","alpha","epsilon","epsilon_decay","seed","Total_steps"
"sarsa_alpha0.15797756899886006_epsilon0.09868708693880723_epsilon_decay0.9207028183868534_seed30","sarsa","0.15797756899886006","0.09868708693880723","0.9207028183868534","30","54"
"sarsa_alpha0.34121163760358325_epsilon0.012087691435272696_epsilon_decay0.9158278482559972_seed20","sarsa","0.34121163760358325","0.012087691435272696","0.9158278482559972","20","32"
"sarsa_alpha0.5612047493328817_epsilon0.1752343662411303_epsilon_decay0.9285133958226248_seed40","sarsa","0.5612047493328817","0.1752343662411303","0.9285133958226248","40","6"
"sarsa_alpha0.5113807837859577_epsilon0.13723852176510934_epsilon_decay0.9536041607567048_seed30","sarsa","0.5113807837859577","0.13723852176510934","0.9536041607567048","30","9"
"sarsa_alpha0.5876038275195542_epsilon0.04585853076902629_epsilon_decay0.930282763966275_seed50","sarsa","0.5876038275195542","0.04585853076902629","0.930282763966275","50","15"
"sarsa_alpha0.8597732678670242_epsilon0.1791552744316448_epsilon_decay0.9362208543655938_seed10","sarsa","0.8597732678670242","0.1791552744316448","0.9362208543655938","10","11"
"sarsa_alpha0.37560984584887896_epsilon0.18104813579141765_epsilon_decay0.9201035146973532_seed30","sarsa","0.37560984584887896","0.18104813579141765","0.9201035146973532","30","36"
"sarsa_alpha0.30387413640029465_epsilon0.17559344405416183_epsilon_decay0.9522675365977564_seed40","sarsa","0.30387413640029465","0.17559344405416183","0.9522675365977564","40","16"
"sarsa_alpha0.6108380865579982_epsilon0.17290631153933936_epsilon_decay0.9535695302512188_seed50","sarsa","0.6108380865579982","0.17290631153933936","0.9535695302512188","50","16"
"sarsa_alpha0.46228045259905143_epsilon0.1137908543662949_epsilon_decay0.9312162192573188_seed10","sarsa","0.46228045259905143","0.1137908543662949","0.9312162192573188","10","100"
"sarsa_alpha0.1658807589805272_epsilon0.08751040380946684_epsilon_decay0.90632007072258_seed10","sarsa","0.1658807589805272","0.08751040380946684","0.90632007072258","10","6"
"sarsa_alpha0.04949700321077903_epsilon0.0807009378891855_epsilon_decay0.9244343301557684_seed50","sarsa","0.04949700321077903","0.0807009378891855","0.9244343301557684","50","100"
"sarsa_alpha0.973666651697464_epsilon0.1852167559236176_epsilon_decay0.9037021386673832_seed50","sarsa","0.973666651697464","0.1852167559236176","0.9037021386673832","50","8"
"sarsa_alpha0.6565783920879248_epsilon0.19254271418519903_epsilon_decay0.9396108380611295_seed50","sarsa","0.6565783920879248","0.19254271418519903","0.9396108380611295","50","20"
"sarsa_alpha0.9525644835456984_epsilon0.06659613500950586_epsilon_decay0.9019761400630358_seed10","sarsa","0.9525644835456984","0.06659613500950586","0.9019761400630358","10","22"
