"Name","algorithm","alpha","seed","tau","tau_decay","Episode_return"
"q_learning_alpha0.04847373162986322_tau1.6907293022751866_tau_decay0.9481818568149878_seed40","q_learning","0.04847373162986322","40","1.6907293022751866","0.9481818568149878","83"
"q_learning_alpha0.97427945716676_tau1.3673786915539818_tau_decay0.9463618802950547_seed40","q_learning","0.97427945716676","40","1.3673786915539818","0.9463618802950547","33"
"q_learning_alpha0.049379920161172486_tau3.465464626273924_tau_decay0.9496768245284184_seed50","q_learning","0.049379920161172486","50","3.465464626273924","0.9496768245284184","190"
"q_learning_alpha0.07849407807621311_tau2.6516614236142964_tau_decay0.9530890721063644_seed50","q_learning","0.07849407807621311","50","2.6516614236142964","0.9530890721063644","255"
"q_learning_alpha0.47755824197029056_tau1.8333864066946617_tau_decay0.9860757592214414_seed50","q_learning","0.47755824197029056","50","1.8333864066946617","0.9860757592214414","119"
"q_learning_alpha0.96337391724569_tau3.349998528295398_tau_decay0.9722956052539438_seed20","q_learning","0.96337391724569","20","3.349998528295398","0.9722956052539438","10"
"q_learning_alpha0.8907755441391157_tau2.3457280094455384_tau_decay0.935036169054364_seed30","q_learning","0.8907755441391157","30","2.3457280094455384","0.935036169054364","45"
"q_learning_alpha0.813826836817879_tau1.647752019495616_tau_decay0.9244059386895292_seed20","q_learning","0.813826836817879","20","1.647752019495616","0.9244059386895292","27"
"q_learning_alpha0.4773614019062896_tau2.3424682036249873_tau_decay0.9152222907605684_seed30","q_learning","0.4773614019062896","30","2.3424682036249873","0.9152222907605684","77"
"q_learning_alpha0.3263343212125464_tau3.047409544191189_tau_decay0.9450316038858296_seed20","q_learning","0.3263343212125464","20","3.047409544191189","0.9450316038858296","176"
"q_learning_alpha0.5175829500052815_tau2.5310514537981788_tau_decay0.975942739377376_seed20","q_learning","0.5175829500052815","20","2.5310514537981788","0.975942739377376","119"
"q_learning_alpha0.9864189742569944_tau1.3165743722324736_tau_decay0.9188858208114468_seed50","q_learning","0.9864189742569944","50","1.3165743722324736","0.9188858208114468","79"
"q_learning_alpha0.5497396694370694_tau1.1861425199294515_tau_decay0.9787438848580676_seed20","q_learning","0.5497396694370694","20","1.1861425199294515","0.9787438848580676","186"
"q_learning_alpha0.28077340691364766_tau2.4623043361940815_tau_decay0.9619193020280096_seed50","q_learning","0.28077340691364766","50","2.4623043361940815","0.9619193020280096","179"
"q_learning_alpha0.17893010443309074_tau2.831553721268224_tau_decay0.9552365623343751_seed50","q_learning","0.17893010443309074","50","2.831553721268224","0.9552365623343751","391"
"q_learning_alpha0.18546620890000953_tau3.0761260390277796_tau_decay0.9715986264212452_seed50","q_learning","0.18546620890000953","50","3.0761260390277796","0.9715986264212452","386"
"q_learning_alpha0.8090215566225368_tau2.9496539027939574_tau_decay0.9068546616642552_seed10","q_learning","0.8090215566225368","10","2.9496539027939574","0.9068546616642552","27"
"q_learning_alpha0.969408461459022_tau1.8879444580704323_tau_decay0.9342083356586632_seed30","q_learning","0.969408461459022","30","1.8879444580704323","0.9342083356586632","31"
"q_learning_alpha0.03824011861110085_tau1.4639082848619098_tau_decay0.9872812166703056_seed40","q_learning","0.03824011861110085","40","1.4639082848619098","0.9872812166703056","67"
"q_learning_alpha0.5044951905976311_tau1.8798022775618903_tau_decay0.950936948457583_seed10","q_learning","0.5044951905976311","10","1.8798022775618903","0.950936948457583","113"
"q_learning_alpha0.22563665864940877_tau1.8328967250356265_tau_decay0.9646009005675232_seed20","q_learning","0.22563665864940877","20","1.8328967250356265","0.9646009005675232","108"
"q_learning_alpha0.31760605925156116_tau1.9263092942674784_tau_decay0.9414350608613712_seed20","q_learning","0.31760605925156116","20","1.9263092942674784","0.9414350608613712","117"
"q_learning_alpha0.15810178814362907_tau3.437340036392154_tau_decay0.971832951016916_seed50","q_learning","0.15810178814362907","50","3.437340036392154","0.971832951016916","274"
"q_learning_alpha0.645132343682847_tau1.674665832467488_tau_decay0.9792269294658326_seed30","q_learning","0.645132343682847","30","1.674665832467488","0.9792269294658326","53"
"q_learning_alpha0.568888018382754_tau1.1472205951753114_tau_decay0.9163751456586692_seed40","q_learning","0.568888018382754","40","1.1472205951753114","0.9163751456586692","16"
"q_learning_alpha0.401267023722525_tau2.5902631334259993_tau_decay0.9550865020602696_seed50","q_learning","0.401267023722525","50","2.5902631334259993","0.9550865020602696","500"
