"Name","algorithm","alpha","seed","tau","tau_decay","Total_steps"
"q_learning_alpha0.6862921667620085_tau1.792701407553585_tau_decay0.9323404084496308_seed30","q_learning","0.6862921667620085","30","1.792701407553585","0.9323404084496308","9"
"q_learning_alpha0.5400129848937056_tau1.5083055488986692_tau_decay0.9461963958451418_seed30","q_learning","0.5400129848937056","30","1.5083055488986692","0.9461963958451418","2"
"q_learning_alpha0.209926500382438_tau3.62900839930906_tau_decay0.9670107042975824_seed10","q_learning","0.209926500382438","10","3.62900839930906","0.9670107042975824","10"
"q_learning_alpha0.5499838348188556_tau1.5273957740048183_tau_decay0.978636675749978_seed50","q_learning","0.5499838348188556","50","1.5273957740048183","0.978636675749978","8"
"q_learning_alpha0.4679484889621471_tau3.7745875059855183_tau_decay0.9507963637045124_seed40","q_learning","0.4679484889621471","40","3.7745875059855183","0.9507963637045124","9"
"q_learning_alpha0.3511983875794082_tau3.2740607432167894_tau_decay0.9004025678737979_seed20","q_learning","0.3511983875794082","20","3.2740607432167894","0.9004025678737979","6"
"q_learning_alpha0.4858754646871454_tau1.5060294084926205_tau_decay0.9515144552168509_seed20","q_learning","0.4858754646871454","20","1.5060294084926205","0.9515144552168509","7"
"q_learning_alpha0.1581515920768913_tau2.1235113175262077_tau_decay0.964514219051026_seed10","q_learning","0.1581515920768913","10","2.1235113175262077","0.964514219051026","2"
"q_learning_alpha0.9343844819620878_tau3.237962005282755_tau_decay0.97098485802904_seed40","q_learning","0.9343844819620878","40","3.237962005282755","0.97098485802904","6"
"q_learning_alpha0.7518520812091767_tau0.5363552949625725_tau_decay0.9291158439210316_seed10","q_learning","0.7518520812091767","10","0.5363552949625725","0.9291158439210316","60"
"q_learning_alpha0.39785870738542095_tau1.0598170323570844_tau_decay0.9320147001705972_seed20","q_learning","0.39785870738542095","20","1.0598170323570844","0.9320147001705972","3"
"q_learning_alpha0.35839163359779086_tau2.9894505304187886_tau_decay0.948706543385178_seed10","q_learning","0.35839163359779086","10","2.9894505304187886","0.948706543385178","3"
"q_learning_alpha0.09552683333436096_tau1.7253562881026232_tau_decay0.9601396422369866_seed40","q_learning","0.09552683333436096","40","1.7253562881026232","0.9601396422369866","10"
"q_learning_alpha0.9910135039564582_tau2.0494771049545486_tau_decay0.934078850645717_seed30","q_learning","0.9910135039564582","30","2.0494771049545486","0.934078850645717","13"
"q_learning_alpha0.9313985205721028_tau3.1150698100218492_tau_decay0.913439020437651_seed20","q_learning","0.9313985205721028","20","3.1150698100218492","0.913439020437651","2"
"q_learning_alpha0.1505895307725354_tau1.0309990107974822_tau_decay0.96515484680753_seed10","q_learning","0.1505895307725354","10","1.0309990107974822","0.96515484680753","4"
"q_learning_alpha0.12497141219604382_tau0.8832988606791474_tau_decay0.943269784153907_seed30","q_learning","0.12497141219604382","30","0.8832988606791474","0.943269784153907","6"
"q_learning_alpha0.7306302996841368_tau2.6094979988252938_tau_decay0.9262323643848926_seed50","q_learning","0.7306302996841368","50","2.6094979988252938","0.9262323643848926","8"
"q_learning_alpha0.38533475945425977_tau2.0761840171854056_tau_decay0.953936230812649_seed30","q_learning","0.38533475945425977","30","2.0761840171854056","0.953936230812649","2"
"q_learning_alpha0.5031705911778102_tau1.4450492139699849_tau_decay0.9896058445232608_seed40","q_learning","0.5031705911778102","40","1.4450492139699849","0.9896058445232608","2"
